"~id","~labels","name"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:0","Person","Stock Portfolio Optimization with Machine Learning"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:1","Person","Yalu, Ouyang"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:2","Place","An ECE228 Project (Track Number # 1)"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:3","Place","Yalu, Ouyang"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:4","Email","Yaouyang@ucsd.edu"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:5","Email","Yalu, Ouyang"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:6","Person","Darell, Chua"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:7","Person","Dirk, Xie"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:8","Email","six004@ucsd.edu"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:9","Person","Kyle, Wade"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:10","Email","kwade@ucsd.edu"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:11","Person","Financial Statement Analysis with Large Language Models"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:12","Person","financial statement analysis"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:13","Person","GPT's predictions are more likely to be inaccurate when the firm is smaller in size, has a higher leverage ratio, records a loss, and exhibits volatile earnings."
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:14","UNTYPED","GPT's performance comes from its memory, e.g., due to the model's ability to identify the company based on numeric data."
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:15","Person","GPT's predictive ability"
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:16","UNTYPED","Another explanation is that the strength of the model is in its ability to generate narrative insights based on its analysis of numeric data."
"4:50cb0b36-a987-4622-88f1-23fd5ada75f6:17","UNTYPED","We explore each of these possibilities next."
